month,novice_crash,total_crash
Jan-02,246,940
Feb-02,300,1101
Mar-02,307,1258
Apr-02,305,1187
May-02,307,1210
Jun-02,300,1102
Jul-02,285,1190
Aug-02,325,1287
Sep-02,305,1186
Oct-02,305,1140
Nov-02,306,1137
Dec-02,265,1085
Jan-03,255,1028
Feb-03,253,1006
Mar-03,297,1164
Apr-03,265,1083
May-03,286,1154
Jun-03,256,1116
Jul-03,325,1230
Aug-03,298,1184
Sep-03,251,1106
Oct-03,297,1212
Nov-03,305,1226
Dec-03,284,1145
Jan-04,238,1069
Feb-04,295,1092
Mar-04,309,1254
Apr-04,249,1077
May-04,261,1094
Jun-04,292,1169
Jul-04,294,1249
Aug-04,293,1246
Sep-04,269,1149
Oct-04,296,1221
Nov-04,310,1185
Dec-04,268,1156
Jan-05,267,1006
Feb-05,263,1076
Mar-05,289,1185
Apr-05,320,1262
May-05,265,1147
Jun-05,264,1159
Jul-05,277,1199
Aug-05,300,1182
Sep-05,265,1077
Oct-05,303,1211
Nov-05,315,1255
Dec-05,267,1170
Jan-06,254,1044
Feb-06,251,1065
Mar-06,284,1234
Apr-06,248,1054
May-06,265,1201
Jun-06,283,1202
Jul-06,306,1188
Aug-06,295,1251
Sep-06,274,1182
Oct-06,294,1224
Nov-06,304,1217
Dec-06,292,1186
Jan-07,247,1031
Feb-07,294,1084
Mar-07,302,1282
Apr-07,304,1169
May-07,318,1306
Jun-07,282,1230
Jul-07,323,1344
Aug-07,347,1324
Sep-07,335,1254
Oct-07,308,1253
Nov-07,334,1277
Dec-07,328,1158
Jan-08,274,1113
Feb-08,271,1159
Mar-08,326,1263
Apr-08,317,1289
May-08,330,1396
Jun-08,310,1196
Jul-08,307,1271
Aug-08,283,1267
Sep-08,267,1210
Oct-08,287,1238
Nov-08,294,1231
Dec-08,294,1137
Jan-09,235,1038
Feb-09,220,1081
Mar-09,297,1264
Apr-09,274,1261
May-09,259,1231
Jun-09,246,1184
Jul-09,235,1207
Aug-09,269,1222
Sep-09,228,1139
Oct-09,241,1189
Nov-09,228,1094
Dec-09,248,1107
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
